genus_and_species,taxonomy_id,strain,superkingdom,phylum,class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,16S_accssion,16S_GC,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Tmax_Tmin
Methanocaldococcus indicus,213231,SL43,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,,30.7,,AF547621,64.3,50.0,85.0,,,86.0,36.0
Methanocaldococcus jannaschii,2190,JAL-1,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,GCA_000091665.1,31.3,1.7,M59126,61.4,50.0,85.0,,,86.0,36.0
Thermotoga naphthophila,93930, RKU-10,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,GCA_000025105.1,46.1,1.8,AB027017,63.9,48.0,80.0,,,86.0,38.0
Thermothrix azorensis,48383,TM,Bacteria,,,,,Thermothrix,,39.7,,NR_104832,60.8,63.0,77.0,76.0,78.0,86.0,23.0
Geoglobus acetivorans,565033,SBH6,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Geoglobus,GCA_000789255.1,46.8,1.9,FJ216404,63.6,50.0,81.0,,,85.0,35.0
Thermocrinis jamiesonii,1302351,GBS1,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Thermocrinis,,41.3,,KC526152,61.6,70.0,80.0,,,85.0,15.0
Thermococcus celericrescens,227598,TS2,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,54.6,,AB107768,65.2,50.0,80.0,,,85.0,35.0
Palaeococcus helgesonii,207243,PI1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Palaeococcus,,42.5,,AY134472,63.6,45.0,80.0,,,85.0,40.0
Sulfurisphaera tokodaii,111955,7,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfurisphaera,GCA_000011205.1,32.8,2.7,AB022438,64.0,70.0,80.0,,,85.0,15.0
Archaeoglobus veneficus,58290,SNP6,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,GCA_000194625.1,47.0,1.9,JF449426,58.7,65.0,80.0,,,85.0,20.0
Caldicellulosiruptor obsidiansis,717609,OB47 ,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,GCA_000145215.1,35.2,2.5,GQ338764,58.9,55.0,78.0,,,85.0,30.0
Hydrogenobacter subterraneus,92642,HGP1,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenobacter,,44.5,,AB026268,60.9,60.0,78.0,,,85.0,25.0
Thermocrinis minervae,381751,CR11,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Thermocrinis,,40.3,,AM260555,62.0,65.0,75.0,,,85.0,20.0
Desulfurobacterium pacificum,240166,SL17,Bacteria,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,,42.0,,AY268936,63.5,55.0,75.0,,,85.0,30.0
Sulfolobus acidocaldarius,2285,NBRC 15157,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,GCA_000012285.1,36.7,2.2,D14876,62.8,55.0,72.5,,,85.0,30.0
Caldicoprobacter guelmensis,1170224,D2C22,Bacteria,Firmicutes,Clostridia,Clostridiales,Caldicoprobacteraceae,Caldicoprobacter,,41.6,,JQ707908,59.2,45.0,65.0,,,85.0,40.0
Thermococcus zilligii,54076,DSM2770 ,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,46.2,,U76534,65.9,55.0,77.5,75.0,80.0,85.0,30.0
Hydrogenivirga okinawensis,345592,LS12-2,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenivirga,,51.3,,AB235314,64.2,65.0,72.5,70.0,75.0,85.0,20.0
Thermus thermophilus,274,HB8,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,GCA_002355995.1,69.0,2.1,M26923,63.9,47.0,68.5,65.0,72.0,85.0,38.0
Fervidicoccus fontis,683846,Kam940,Archaea,Crenarchaeota,Thermoprotei,Fervidicoccales,Fervidicoccaceae,Fervidicoccus,GCA_000258425.1,37.5,1.3,EF552404,62.4,55.0,67.5,65.0,70.0,85.0,30.0
Desulfotomaculum kuznetsovii,58135,17,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfofundulus,,54.9,,NR_026410,57.7,50.0,62.5,60.0,65.0,85.0,35.0
Pseudothermotoga thermarum,119394,LA3,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga,GCA_000217815.1,40.3,2.0,NR_024751,63.0,55.0,70.0,,,84.0,29.0
Calditerricola satsumensis,373054,YMO81,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Calditerricola,,70.0,,AB250968,62.4,56.0,78.0,,,83.0,27.0
Acidianus sulfidivorans,312539,JP7,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,GCA_003201765.1,31.1,2.3,AY907891,60.7,45.0,74.0,,,83.0,38.0
Methanotorris formicicus,213185,Mc-S-70,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanotorris,,33.3,,AB100884,62.0,55.0,70.0,,,83.0,28.0
Caldicellulosiruptor kristjanssonii,52765,I77R1B,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,GCA_000166695.1,36.1,2.8,AJ004811,58.6,45.0,78.0,,,82.0,37.0
Ammonifex thiophilus,444093,SR,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Ammonifex,,56.2,,EF554597,62.7,60.0,75.0,,,82.0,22.0
Caldimicrobium rimae,444091,DS,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Caldimicrobium,,35.2,,EF554596,62.2,52.0,75.0,,,82.0,30.0
Thermocladium modestius,62609,1C-125,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermocladium,,52.0,,AB005296,63.9,45.0,75.0,,,82.0,37.0
Caldicellulosiruptor kronotskyensis,413889,2002,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,GCA_000166775.1,35.1,2.8,EF100909,58.3,45.0,70.0,,,82.0,37.0
Thermodesulfobacterium commune,1741,YSRA-1 ,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfobacterium,GCA_000734015.1,37.0,1.8,L10662,52.7,45.0,70.0,,,82.0,37.0
Hydrogenobacter hydrogenophilus,35835, INMIZ-829,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenobacter,,43.0,,Z30242,60.1,50.0,75.0,74.0,76.0,82.0,32.0
Calditerricola yamamurae,448141,YMO722,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Calditerricola,,64.0,,AB308475,62.5,56.0,72.0,,,81.0,25.0
Thermovorax subterraneus,496831,70B ,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Thermovorax,,44.2,,EU370564,60.7,50.0,71.0,,,81.0,31.0
Dictyoglomus thermophilum,14,H‐6‐12,Bacteria,Dictyoglomi,Dictyoglomia,Dictyoglomales,Dictyoglomaceae,Dictyoglomus,GCA_000020965.1,33.7,2.0,X69194,58.9,50.0,78.0,,,80.0,30.0
Phorcysia thermohydrogeniphila,936138,HB-8 ,Bacteria,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Phorcysia,,47.8,,HQ336972,62.9,65.0,75.0,,,80.0,15.0
Sulfurihydrogenibium rodmanii,380763,UZ3-5,Bacteria,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,Sulfurihydrogenibium,,35.0,,AM259502,58.2,55.0,75.0,,,80.0,25.0
Thermovibrio ammonificans,228745,HB-1 ,Bacteria,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,GCA_000185805.1,52.1,1.8,AY263403,63.5,69.0,75.0,,,80.0,11.0
Thermovibrio ruber,171869,ED11/3LLK ,Bacteria,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,,46.0,,AJ316619,62.6,50.0,75.0,,,80.0,30.0
Thermodesulfobacterium hydrogeniphilum,161156,SL6,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfobacterium,,28.0,,AF332514,62.0,50.0,75.0,,,80.0,30.0
Caldicellulosiruptor owensensis,55205,OL,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,GCA_000166335.1,35.4,2.4,U80596,58.3,50.0,75.0,,,80.0,30.0
Archaeoglobus sulfaticallidus,1316941,PM70-1,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,GCA_000385565.1,43.2,2.1,FJ810190,62.1,60.0,75.0,,,80.0,20.0
Metallosphaera prunae,47304,Ron 12/II,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera,,46.0,,X90482,62.7,55.0,75.0,,,80.0,25.0
Metallosphaera sedula,43687,TH2,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera,GCA_000016605.1,46.2,2.2,X90481,62.6,50.0,75.0,,,80.0,30.0
Persephonella marina,309805,EX-H1,Bacteria,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,Persephonella,GCA_000021565.1,37.1,2.0,AF188332,61.1,55.0,73.0,,,80.0,25.0
Thermosipho japonicus,90323,IHB1,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho,,31.4,,AB024932,60.9,45.0,72.0,,,80.0,35.0
Thermoanaerobacter pentosaceus,694059,DTU01,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,,34.2,,GU176611,59.5,50.0,70.0,,,80.0,30.0
Fervidicola ferrireducens,520764,Y170,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Fervidicola,,48.0,,EU443728,60.8,55.0,70.0,,,80.0,25.0
Thermus parvatiensis,456163,RL,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,GCA_001535545.1,68.5,2.0,EU017402,63.9,60.0,70.0,,,80.0,20.0
Vulcanithermus mediatlanticus,206045,TR,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Vulcanithermus,,68.4,,AJ507298,63.0,37.0,70.0,,,80.0,43.0
Thermaerobacter subterraneus,175696,C21,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XVII. Incertae Sedis,Thermaerobacter,,71.0,,AF343566,64.0,55.0,70.0,,,80.0,25.0
Thermodesulfatator indicus,171695,CIR29812,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfatator,GCA_000217795.1,42.4,2.3,AF393376,62.4,55.0,70.0,,,80.0,25.0
Thermosipho melanesiensis,46541,BI429,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho,GCA_000016905.1,31.4,1.9,Z70248,60.4,45.0,70.0,,,80.0,35.0
Caldicellulosiruptor saccharolyticus,44001,Tp8T 6331,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,GCA_000016545.1,35.3,3.0,L09178,58.7,45.0,70.0,,,80.0,35.0
Methanothermobacter tenebrarum,680118,M.O.H.,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,,52.0,,AB523785,59.0,45.0,70.0,,,80.0,35.0
Acidianus tengchongensis,146920,S5 ,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,,38.0,,AF226987,60.6,55.0,70.0,,,80.0,25.0
Metallosphaera hakonensis,79601,HO1-1,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera,GCA_003201675.1,43.7,2.5,D86414,62.1,50.0,70.0,,,80.0,30.0
Kosmotoga olearia,651457,TBF 19.5.1,Bacteria,Thermotogae,Thermotogae,Kosmotogales,Kosmotogaceae,Kosmotoga,GCA_000023325.1,41.5,2.3,NR_044583,61.5,20.0,65.0,,,80.0,60.0
Fervidobacterium riparium,548918,1445t,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium,,31.0,,EU851047,60.1,46.0,65.0,,,80.0,34.0
Caldicellulosiruptor hydrothermalis,413888,108,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,GCA_000166355.1,36.1,2.8,EF100908,58.9,50.0,65.0,,,80.0,30.0
Thermosipho atlanticus,238991,DV1140,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho,,33.0,,AJ577471,60.4,45.0,65.0,,,80.0,35.0
Hydrogenothermus marinus,133270,VM1,Bacteria,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,Hydrogenothermus,,43.0,,AJ292525,58.3,45.0,65.0,,,80.0,35.0
Thermoanaerobacter acetoethylicus,2704, HTB2,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,,31.0,,L09163,57.2,40.0,65.0,,,80.0,40.0
Fervidobacterium islandicum,2423,H21,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium,GCA_000767275.3,40.7,2.2,M59176,60.6,50.0,65.0,,,80.0,30.0
Methanothermobacter crinale,1045764,Tm2,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,,40.1,,HQ283273,59.1,45.0,60.0,,,80.0,35.0
Thermaerobacter marianensis,73919,7p75a,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XVII. Incertae Sedis,Thermaerobacter,GCA_000184705.1,72.5,2.8,AB011495,64.0,50.0,75.0,74.0,76.0,80.0,30.0
Rhodothermus profundi,633813,PRI 2902,Bacteria,Bacteroidetes,,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,Rhodothermus,,60.9,,FJ624399,62.6,55.0,72.5,70.0,75.0,80.0,25.0
Desulfurobacterium atlanticum,240169,SL22,Bacteria,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,,41.0,,AY268939,61.8,50.0,72.5,70.0,75.0,80.0,30.0
Balnearium lithotrophicum,223788,17S,Bacteria,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,,34.6,,AB105048,53.1,45.0,72.5,70.0,75.0,80.0,35.0
Thermoanaerobacter italicus,108150,Ab9,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,GCA_000025645.1,34.1,2.5,AJ250846,59.1,45.0,72.5,70.0,75.0,80.0,35.0
Thermomicrobium roseum,500,ATCC 27502,Bacteria,Chloroflexi,Thermomicrobia,Thermomicrobiales,Thermomicrobiaceae,Thermomicrobium,GCA_000021685.1,64.3,2.9,M34115,65.5,45.0,72.5,70.0,75.0,80.0,35.0
Caldisphaera lagunensis,200415,IC-154,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera,GCA_000317795.1,30.0,1.5,AB087499,61.7,45.0,72.5,70.0,75.0,80.0,35.0
Thermus composti,532059,K-39,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,,71.3,,EU701067,63.8,40.0,70.0,65.0,75.0,80.0,40.0
Thermus filiformis,276,Wai33 AI ,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,,65.0,,L09667,62.6,37.0,71.5,70.0,73.0,80.0,43.0
Desulfovirgula thermocuniculi,348842,RL80JIV,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Desulfovirgula,,60.1,,DQ208689,60.4,61.0,70.5,69.0,72.0,80.0,19.0
Thermodesulfatator autotrophicus,1795632,S606,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfatator,,43.1,,KU681513,62.7,50.0,67.5,65.0,70.0,80.0,30.0
Thermus antranikianii,88190,HN3-7 ,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,,65.4,,Y18406,63.3,50.0,67.5,65.0,70.0,80.0,30.0
Thermus igniterrae,88189,RF-4 ,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,,70.3,,Y18416,64.6,45.0,67.5,65.0,70.0,80.0,35.0
Fervidobacterium gondwanense,44754,AB39,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium,,35.0,,Z49117,59.8,45.0,66.5,65.0,68.0,80.0,35.0
Thermaerobacter composti,554949,NI80,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XVII. Incertae Sedis,Thermaerobacter,,72.0,,AB454087,64.9,52.0,70.0,,,79.0,27.0
Fervidobacterium nodosum,2424,Rt17‐B,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium,GCA_000017545.1,35.0,1.9,M59177,58.7,41.0,70.0,,,79.0,38.0
Thermus aquaticus,271,YT-1,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,GCA_001399775.1,68.0,2.3,L09663,63.0,40.0,70.0,,,79.0,39.0
Thermus islandicus,540988,PRI3838,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,,69.0,,EU753247,63.4,45.0,65.0,,,79.0,34.0
Caldisphaera draconis,411358,18U65,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera,,53.9,,EF057392,61.7,60.0,71.0,70.0,72.0,79.0,19.0
Kosmotoga pacifica,1330330,SLHLJ1,Bacteria,Thermotogae,Thermotogae,Kosmotogales,Kosmotogaceae,Kosmotoga,,43.7,,KC119212,60.3,33.0,70.0,,,78.0,45.0
Thermosulfidibacter takaii,412593,ABI70S6,Bacteria,Aquificae,Aquificae,Aquificales,,Thermosulfidibacter,GCA_001547735.1,43.0,1.8,AB282756,62.1,55.0,70.0,,,78.0,23.0
Thermolithobacter carboxydivorans,335383,R1,Bacteria,Firmicutes,Thermolithobacteria,Thermolithobacterales,Thermolithobacteraceae,Thermolithobacter,,52.0,,DQ095862,59.2,40.0,70.0,,,78.0,38.0
Thermaerobacter litoralis,317015,KW1,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XVII. Incertae Sedis,Thermaerobacter,,70.8,,AY936496,64.1,52.0,70.0,,,78.0,26.0
Sulfurihydrogenibium yellowstonense,304736,SS-5,Bacteria,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,Sulfurihydrogenibium,,32.0,,AY686713,57.1,55.0,70.0,,,78.0,23.0
Thermaerobacter nagasakiensis,159723,Ts1a ,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XVII. Incertae Sedis,Thermaerobacter,,69.0,,AB061441,64.3,52.0,70.0,,,78.0,26.0
Thermoanaerobacter ethanolicus,1757,JW200,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,GCA_003722315.1,34.2,2.9,L09162,57.0,37.0,69.0,,,78.0,41.0
Caldicellulosiruptor lactoaceticus,52766,6A,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,GCA_000193435.3,36.1,2.7,X82842,59.1,50.0,68.0,,,78.0,28.0
Geobacillus thermocatenulatus,33938,DSM 730,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,GCA_002243665.1,51.9,3.7,Z26926,59.7,35.0,70.0,65.0,75.0,78.0,43.0
Carboxydothermus hydrogenoformans,129958,Z-2901,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Carboxydothermus,GCA_000012865.1,42.0,2.4,NR_074395,58.8,40.0,71.0,70.0,72.0,78.0,38.0
Thermoanaerobacter siderophilus,106578,SR4,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,,32.0,,AF120479,58.4,39.0,70.0,69.0,71.0,78.0,39.0
Thermus yunnanensis,266825,RHY12-2 ,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,,,,AY557603,62.5,40.0,67.5,65.0,70.0,78.0,38.0
Caldicellulosiruptor acetigenus,301953,X6B,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,,35.7,,AY772476,58.7,50.0,66.5,65.0,68.0,78.0,28.0
Thermoanaerobacter wiegelii,46354,Rt8.B1,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,GCA_000147695.3,34.3,2.8,X92513,59.1,38.0,66.5,65.0,68.0,78.0,40.0
Brockia lithotrophica,933949,Kam1851 ,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Brockia,,63.0,,HQ540553,63.8,46.0,62.5,60.0,65.0,78.0,32.0
Hydrogenivirga caldilitoris,246264,AB120294,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenivirga,,49.2,,AB120294,63.0,55.0,75.0,,,77.5,22.5
Hydrogenobaculum acidophilum,34092, 3H-1,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenobaculum,,35.0,,D16296,54.5,45.0,65.0,,,77.5,32.5
Hydrogenobacter thermophilus,940,TK-56,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenobacter,GCA_000010785.1,44.0,1.7,Z30214,59.7,50.0,72.5,70.0,75.0,77.5,27.5
Caldimicrobium thiodismutans,1653476,TF1,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Caldimicrobium,GCA_001548275.1,38.3,1.8,LC055107,61.3,40.0,75.0,,,77.0,37.0
Thermosipho africanus,2421,Ob7,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho,GCA_000021285.1,30.8,2.0,NR_043912,60.0,35.0,75.0,,,77.0,42.0
Caldicoprobacter oshimai,551788,JW/HY-331,Bacteria,Firmicutes,Clostridia,Clostridiales,Caldicoprobacteraceae,Caldicoprobacter,,45.4,,AB450762,58.2,44.0,70.0,,,77.0,33.0
Thermus arciformis,482827,TH92,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,,68.3,,EU247889,63.2,40.0,70.0,,,77.0,37.0
Ammonifex degensii,42838,KC4,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Ammonifex,GCA_000024605.1,59.4,2.2,U34975,55.7,57.0,70.0,,,77.0,20.0
Rhodothermus marinus,29549,DSM 4252 ,Bacteria,Bacteroidetes,,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,Rhodothermus,GCA_000024845.1,64.3,3.4,NR_029282,61.9,54.0,65.0,,,77.0,23.0
Thermothrix thiopara,48382,ATCC 29244,Bacteria,,,,,Thermothrix,,39.7,,L77876,60.3,62.0,71.5,70.0,73.0,77.0,15.0
Desulfurella multipotens,79269,RH-8,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfurellales,Desulfurellaceae,Desulfurella,,33.5,,Y16943,53.9,42.0,59.0,58.0,60.0,77.0,35.0
Thermosediminibacter oceani,291990,JW/IW-1228P,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Thermosediminibacter,GCA_000144645.1,46.8,2.3,AY703478,60.0,43.0,64.0,,,76.0,33.0
Thermosediminibacter litoriperuensis,291989,JW/YJL-1230-7/2 ,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Thermosediminibacter,,50.0,,AY703479,60.8,43.0,64.0,,,76.0,33.0
Thermorudis pharmacophila,1167092,WKT50.2,Bacteria,Chloroflexi,Thermomicrobia,,,Thermorudis,,58.4,,HE794997,67.8,53.0,70.5,68.0,73.0,76.0,23.0
Thermovenabulum ferriorganovorum,159731,Z-9801,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Thermovenabulum,,36.0,,AY033493,59.1,45.0,64.0,63.0,65.0,76.0,31.0
Thermolithobacter ferrireducens,416555,JW/KA-2,Bacteria,Firmicutes,Thermolithobacteria,Thermolithobacterales,Thermolithobacteraceae,Thermolithobacter,,52.7,,AF282253,59.8,50.0,73.0,,,75.0,25.0
Hydrogenobacter halophilus,2547829,TH-112,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenobacter,,46.0,,LC466842,62.9,60.0,70.0,,,75.0,15.0
Geobacillus galactosidasius,883812,CF1B,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,,53.5,,AM408559,56.3,50.0,70.0,,,75.0,25.0
Thermosipho affectus,660294,ik275mar,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho,,27.0,,GQ292553,60.3,37.0,70.0,,,75.0,38.0
Venenivibrio stagnispumantis,407998,CP.B2,Bacteria,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,Venenivibrio,,29.3,,DQ989208,57.5,45.0,70.0,,,75.0,30.0
Persephonella guaymasensis,182900,EX-H2,Bacteria,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,Persephonella,,37.4,,AF385630,61.0,55.0,70.0,,,75.0,20.0
Thermosipho geolei,117503,SL31,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho,,31.0,,AJ272022,60.1,45.0,70.0,,,75.0,30.0
Desulfurobacterium thermolithotrophum,64160,BSAT,Bacteria,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,GCA_000191045.1,34.9,1.5,AJ001049,61.2,40.0,70.0,,,75.0,35.0
Pseudothermotoga subterranea,39100,SL1,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga,,40.3,,U22664,60.6,50.0,70.0,,,75.0,25.0
Metallosphaera tengchongensis,1532350,Ric-A,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera,,41.8,,KJ735100,62.3,55.0,70.0,,,75.0,20.0
Archaeoglobus infectus,403219,Arc51,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,,45.9,,AB274307,62.7,60.0,70.0,,,75.0,15.0
